,img,exp_val,mod_pred,clus_pred,max rec,treshold,kern_size,text,model-error,clus-error,Notes,delta_bacche_abs,delta_bacche,stridex,stridey
0,image-gt-54-pred-52-2000x1500.png,52,144.8907470703125,37.0,60.0,0.5,1100.0,the number of berries,1.7863605205829327,0.28846153846153844,"very big kernel to make the network see the berries as well as possible, added a max length",15.0,15.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,279.55596923828125,96.0,60.0,0.5,1100.0,the number of berries,2.829533825181935,0.3150684931506849,"very big kernel to make the network see the berries as well as possible, added a max length",23.0,-23.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,163.3639373779297,95.0,60.0,0.5,1100.0,the raspberries on the ground,0.5708070901724008,0.08653846153846154,"very big kernel to make the network see the berries as well as possible, added a max length",9.0,9.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,198.12730407714844,109.0,60.0,0.5,1100.0,the raspberries on the ground,0.7533389741340569,0.035398230088495575,"very big kernel to make the network see the berries as well as possible, added a max length",4.0,4.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,125.48475646972656,20.0,60.0,0.5,1100.0,the raspberries on the ground,1.9182501504587572,0.5348837209302325,"very big kernel to make the network see the berries as well as possible, added a max length",23.0,23.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,134.03770446777344,38.0,60.0,0.5,1100.0,the raspberries on the ground,1.5776481628417969,0.2692307692307692,"very big kernel to make the network see the berries as well as possible, added a max length",14.0,14.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,271.6313781738281,84.0,60.0,0.5,1100.0,the raspberries on the ground,2.720977783203125,0.1506849315068493,"very big kernel to make the network see the berries as well as possible, added a max length",11.0,-11.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,197.65966796875,117.0,60.0,0.5,1200.0,the number of berries,0.90057373046875,0.125,"very big kernel to make the network see the berries as well as possible, added a max length",13.0,-13.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,222.30007934570312,126.0,60.0,0.5,1200.0,the number of berries,0.9672573393425056,0.11504424778761062,"very big kernel to make the network see the berries as well as possible, added a max length",13.0,-13.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,143.7090301513672,37.0,60.0,0.5,1200.0,the number of berries,2.342070468636446,0.13953488372093023,"very big kernel to make the network see the berries as well as possible, added a max length",6.0,6.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,141.25335693359375,37.0,60.0,0.5,1200.0,the number of berries,1.7164107102614183,0.28846153846153844,"very big kernel to make the network see the berries as well as possible, added a max length",15.0,15.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,282.94720458984375,87.0,60.0,0.5,1200.0,the number of berries,2.875989103970462,0.1917808219178082,"very big kernel to make the network see the berries as well as possible, added a max length",14.0,-14.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,198.55551147460938,117.0,60.0,0.5,1200.0,the raspberries on the ground,0.9091876103327825,0.125,"very big kernel to make the network see the berries as well as possible, added a max length",13.0,-13.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,224.7218017578125,123.0,60.0,0.5,1200.0,the raspberries on the ground,0.988688511131084,0.08849557522123894,"very big kernel to make the network see the berries as well as possible, added a max length",10.0,-10.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,130.2720947265625,32.0,60.0,0.5,1200.0,the raspberries on the ground,2.029583598292151,0.2558139534883721,"very big kernel to make the network see the berries as well as possible, added a max length",11.0,11.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,133.6775360107422,38.0,60.0,0.5,1200.0,the raspberries on the ground,1.5707218463604267,0.2692307692307692,"very big kernel to make the network see the berries as well as possible, added a max length",14.0,14.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,278.26513671875,96.0,60.0,0.5,1200.0,the raspberries on the ground,2.8118511879280823,0.3150684931506849,"very big kernel to make the network see the berries as well as possible, added a max length",23.0,-23.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,164.80380249023438,73.0,60.0,0.5,900.0,the number of berries,0.5846519470214844,0.2980769230769231,"very big kernel to make the network see the berries as well as possible, added a max length",31.0,31.0,50.0,50.0
