,img,exp_val,clus_pred,max rec,treshold,kern_size,text,clus-error,Notes,delta_bacche_abs,delta_bacche,stridex,stridey
0,image-gt-54-pred-52-2000x1500.png,52,39.0,60.0,0.34,1050.0,the number of berries,0.25,,13.0,13.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,78.0,60.0,0.34,1050.0,the number of berries,0.0684931506849315,,5.0,-5.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,102.0,60.0,0.34,1025.0,the number of berries,0.019230769230769232,,2.0,2.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,113.0,60.0,0.34,1025.0,the number of berries,0.0,,0.0,0.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,60.0,60.0,0.34,1025.0,the number of berries,0.3953488372093023,,17.0,-17.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,36.0,60.0,0.34,1025.0,the number of berries,0.3076923076923077,,16.0,16.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,116.0,60.0,0.34,1025.0,the number of berries,0.589041095890411,,43.0,-43.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,114.0,60.0,0.34,1010.0,the number of berries,0.09615384615384616,,10.0,-10.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,118.0,60.0,0.34,1010.0,the number of berries,0.04424778761061947,,5.0,-5.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,70.0,60.0,0.34,1010.0,the number of berries,0.627906976744186,,27.0,-27.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,47.0,60.0,0.34,1010.0,the number of berries,0.09615384615384616,,5.0,5.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,106.0,60.0,0.34,1010.0,the number of berries,0.4520547945205479,,33.0,-33.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,111.0,60.0,0.34,1030.0,the number of berries,0.0673076923076923,,7.0,-7.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,114.0,60.0,0.34,1030.0,the number of berries,0.008849557522123894,,1.0,-1.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,50.0,60.0,0.34,1030.0,the number of berries,0.16279069767441862,,7.0,-7.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,35.0,60.0,0.34,1030.0,the number of berries,0.3269230769230769,,17.0,17.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,87.0,60.0,0.34,1030.0,the number of berries,0.1917808219178082,,14.0,-14.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,106.0,60.0,0.34,1000.0,the number of berries,0.019230769230769232,,2.0,-2.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,102.0,60.0,0.34,1000.0,the number of berries,0.09734513274336283,,11.0,11.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,57.0,60.0,0.34,1000.0,the number of berries,0.32558139534883723,,14.0,-14.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,34.0,60.0,0.34,1000.0,the number of berries,0.34615384615384615,,18.0,18.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,89.0,60.0,0.34,1000.0,the number of berries,0.2191780821917808,,16.0,-16.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,96.0,60.0,0.34,950.0,the number of berries,0.07692307692307693,,8.0,8.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,107.0,60.0,0.34,950.0,the number of berries,0.05309734513274336,,6.0,6.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,55.0,60.0,0.34,950.0,the number of berries,0.27906976744186046,,12.0,-12.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,48.0,60.0,0.34,950.0,the number of berries,0.07692307692307693,,4.0,4.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,82.0,60.0,0.34,950.0,the number of berries,0.1232876712328767,,9.0,-9.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,101.0,60.0,0.34,975.0,the number of berries,0.028846153846153848,,3.0,3.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,111.0,60.0,0.34,975.0,the number of berries,0.017699115044247787,,2.0,2.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,76.0,60.0,0.34,975.0,the number of berries,0.7674418604651163,,33.0,-33.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,37.0,60.0,0.34,975.0,the number of berries,0.28846153846153844,,15.0,15.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,97.0,60.0,0.34,975.0,the number of berries,0.3287671232876712,,24.0,-24.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,101.0,60.0,0.35,1050.0,the number of berries,0.028846153846153848,,3.0,3.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,112.0,60.0,0.35,1050.0,the number of berries,0.008849557522123894,,1.0,1.0,50.0,50.0
