,img,exp_val,clus_pred,max rec,treshold,kern_size,text,clus-error,Notes,delta_bacche_abs,delta_bacche,stridex,stridey
0,count_100_270_2019_09_11_4864_456_1824.png,100,92.0,60.0,0.37,288.0,the number of berries,0.08,,8.0,8.0,50.0,50.0
0,count_101_271_2019_09_11_4864_00_00.png,101,69.0,60.0,0.37,288.0,the number of berries,0.31683168316831684,,32.0,32.0,50.0,50.0
0,count_102_270_2019_09_11_4864_1368_2432.png,102,126.0,60.0,0.37,288.0,the number of berries,0.23529411764705882,,24.0,-24.0,50.0,50.0
0,count_102_270_2019_09_11_4864_1368_3040.png,102,103.0,60.0,0.37,288.0,the number of berries,0.00980392156862745,,1.0,-1.0,50.0,50.0
0,count_103_278_2019_09_11_4864_1368_3648.png,103,50.0,60.0,0.37,288.0,the number of berries,0.5145631067961165,,53.0,53.0,50.0,50.0
0,count_103_310_2019_09_11_4864_1824_1824.png,103,115.0,60.0,0.37,288.0,the number of berries,0.11650485436893204,,12.0,-12.0,50.0,50.0
0,count_105_270_2019_09_11_4864_456_3040.png,105,93.0,60.0,0.37,288.0,the number of berries,0.11428571428571428,,12.0,12.0,50.0,50.0
0,count_105_270_2019_09_11_4864_912_1824.png,105,109.0,60.0,0.37,288.0,the number of berries,0.0380952380952381,,4.0,-4.0,50.0,50.0
0,count_107_274_2019_09_11_4864_1368_2432.png,107,135.0,60.0,0.37,288.0,the number of berries,0.2616822429906542,,28.0,-28.0,50.0,50.0
0,count_108_166_2019_10_02_4864_1824_3648.png,108,99.0,60.0,0.37,288.0,the number of berries,0.08333333333333333,,9.0,9.0,50.0,50.0
0,count_108_271_2019_09_11_4864_912_608.png,108,111.0,60.0,0.37,288.0,the number of berries,0.027777777777777776,,3.0,-3.0,50.0,50.0
0,count_10_109_2019_10_02_4864_456_1216.png,10,25.0,60.0,0.37,288.0,the number of berries,1.5,,15.0,-15.0,50.0,50.0
0,count_10_110_2019_10_02_4864_2736_4256.png,10,88.0,60.0,0.37,288.0,the number of berries,7.8,,78.0,-78.0,50.0,50.0
0,count_10_112_2019_10_02_4864_3192_3648.png,10,48.0,60.0,0.37,288.0,the number of berries,3.8,,38.0,-38.0,50.0,50.0
0,count_10_114_2019_10_02_4864_1824_00.png,10,153.0,60.0,0.37,288.0,the number of berries,14.3,,143.0,-143.0,50.0,50.0
0,count_10_115_2019_10_02_4864_1368_00.png,10,71.0,60.0,0.37,288.0,the number of berries,6.1,,61.0,-61.0,50.0,50.0
0,count_10_116_2019_10_02_4864_1824_1824.png,10,36.0,60.0,0.37,288.0,the number of berries,2.6,,26.0,-26.0,50.0,50.0
0,count_10_119_2019_10_02_4864_1368_1824.png,10,67.0,60.0,0.37,288.0,the number of berries,5.7,,57.0,-57.0,50.0,50.0
0,count_10_119_2019_10_02_4864_1368_3648.png,10,79.0,60.0,0.37,288.0,the number of berries,6.9,,69.0,-69.0,50.0,50.0
0,count_10_120_2019_10_02_4864_1824_3648.png,10,73.0,60.0,0.37,288.0,the number of berries,6.3,,63.0,-63.0,50.0,50.0
0,count_10_122_2019_10_02_4864_00_00.png,10,26.0,60.0,0.37,288.0,the number of berries,1.6,,16.0,-16.0,50.0,50.0
0,count_10_122_2019_10_02_4864_1824_608.png,10,80.0,60.0,0.37,288.0,the number of berries,7.0,,70.0,-70.0,50.0,50.0
0,count_10_122_2019_10_02_4864_456_608.png,10,104.0,60.0,0.37,288.0,the number of berries,9.4,,94.0,-94.0,50.0,50.0
0,count_10_123_2019_10_02_4864_00_608.png,10,9.0,60.0,0.37,288.0,the number of berries,0.1,,1.0,1.0,50.0,50.0
0,count_10_123_2019_10_02_4864_1368_3040.png,10,44.0,60.0,0.37,288.0,the number of berries,3.4,,34.0,-34.0,50.0,50.0
0,count_10_123_2019_10_02_4864_3192_00.png,10,97.0,60.0,0.37,288.0,the number of berries,8.7,,87.0,-87.0,50.0,50.0
0,count_10_125_2019_10_02_4864_1368_3648.png,10,68.0,60.0,0.37,288.0,the number of berries,5.8,,58.0,-58.0,50.0,50.0
0,count_10_131_2019_10_02_4864_2280_608.png,10,52.0,60.0,0.37,288.0,the number of berries,4.2,,42.0,-42.0,50.0,50.0
0,count_10_133_2019_10_02_4864_00_00.png,10,15.0,60.0,0.37,288.0,the number of berries,0.5,,5.0,-5.0,50.0,50.0
0,count_10_133_2019_10_02_4864_00_1824.png,10,46.0,60.0,0.37,288.0,the number of berries,3.6,,36.0,-36.0,50.0,50.0
0,count_10_137_2019_10_02_4864_00_4256.png,10,122.0,60.0,0.37,288.0,the number of berries,11.2,,112.0,-112.0,50.0,50.0
0,count_10_147_2019_10_02_4864_00_3648.png,10,137.0,60.0,0.37,288.0,the number of berries,12.7,,127.0,-127.0,50.0,50.0
0,count_10_147_2019_10_02_4864_1368_1824.png,10,47.0,60.0,0.37,288.0,the number of berries,3.7,,37.0,-37.0,50.0,50.0
0,count_10_147_2019_10_02_4864_1824_4256.png,10,98.0,60.0,0.37,288.0,the number of berries,8.8,,88.0,-88.0,50.0,50.0
