,img,exp_val,mod_pred,clus_pred,max rec,treshold,kern_size,text,model-error,clus-error,Notes,delta_bacche_abs,delta_bacche
0,image-gt-102-pred-104-2000x1500.png,104,155.63446044921875,92.0,60.0,1.0,1000.0,the number of berries,0.4964851966271034,0.11538461538461539,"very big kernel to make the network see the berries as well as possible, added a max length",12.0,12.0
0,image-gt-110-pred-113-2000x1500.png,113,151.41946411132812,92.0,60.0,1.0,1000.0,the number of berries,0.3399952576223728,0.18584070796460178,"very big kernel to make the network see the berries as well as possible, added a max length",21.0,21.0
